2572,8643
2503,6105
2173,6108
1868,7086
1822,6087
1764,7284
1692,6121
1679,6125
1670,6106
1598,6085
1593,6102
1593,6103
1470,7087
1453,8049
1434,8260
1399,8048
1334,7351
1332,7151
1317,8330
1317,6122
1312,8336
1310,8338
1308,6104
1288,7219
1266,8435
1266,6088
1231,8334
1231,8331
1230,7445
1228,8327
1221,8337
1208,7285
1192,7218
1188,7275
1099,6031
1069,6455
1054,6930
1035,6773
1034,8414
1033,6778
1033,6775
1033,6787
1030,6779
1000,6028
998,6030
991,8335
943,7273
938,7446
931,8640
929,8328
911,6026
904,8205
903,8333
894,8194
894,8183
894,8214
894,8195
894,8196
892,8190
882,7283
880,7210
879,8184
878,7209
867,8223
863,8179
863,8219
840,8638
835,6984
832,7150
825,6982
825,6985
814,6029
814,8057
808,8035
806,6407
806,6409
806,6403
798,6413
798,6414
782,6966
780,8641
778,8045
778,8061
775,8635
772,6025
770,8055
770,8050
752,6203
750,6200
750,6201
746,6219
734,6445
728,6216
728,6251
722,6289
722,6286
720,6269
720,6217
712,8616
708,6415
706,6408
705,7072
702,6410
702,6399
701,6411
700,7073
700,7070
700,6398
700,7082
699,8614
698,6970
698,7081
697,8329
694,8332
690,6618
690,6617
689,6564
680,7215
680,7211
679,6621
679,6620
678,8426
676,7213
676,7214
674,6644
672,8418
671,8382
670,7278
670,8028
668,7281
668,7280
666,7279
666,7277
664,8036
664,8038
656,8424
656,6404
656,6405
651,6616
649,8262
640,6406
639,8433
634,7355
622,8047
622,8041
621,6563
621,6565
621,6579
619,7282
618,6929
614,8040
614,8037
614,8046
612,8432
608,9001
598,1073
596,8187
593,8431
593,8185
590,9076
590,8416
590,6733
576,7174
576,6834
576,7173
576,8389
574,7175
574,6835
570,8497
570,8496
570,8491
564,8310
562,7274
560,8315
560,8313
560,6960
560,8311
558,6288
558,7410
558,7421
558,7406
558,6250
558,7403
558,7401
558,6262
558,7404
556,7412
556,7420
556,7409
556,7419
556,6619
554,7402
552,6246
552,6252
552,6264
552,6279
550,8488
549,7071
547,7080
547,7064
544,8042
544,8053
544,8043
544,8058
544,8039
542,1074
540,8489
540,8503
539,8051
539,8052
539,8060
539,8062
538,8044
538,8059
532,9038
530,7276
528,8054
515,9000
513,7144
507,8646
506,7357
506,8193
506,8202
506,8178
506,7353
506,7352
506,7358
506,8182
506,7354
506,8213
506,7347
506,7356
506,7350
506,7345
506,7342
506,7346
506,7344
506,7341
504,8422
504,6958
504,6959
497,8206
497,8221
496,6598
495,8215
495,8181
495,8222
495,8210
495,8201
476,6872
474,8428
473,6032
473,8396
470,8552
466,7166
466,8427
466,8419
466,6671
466,7163
466,8429
464,8320
464,6017
464,7452
464,7455
464,7458
463,6194
463,6198
463,6199
462,8323
459,6197
458,6116
458,6601
458,6867
457,6193
456,6890
456,6863
450,8361
450,8421
450,6871
450,8425
446,8319
445,8220
445,8623
438,6086
438,6891
438,6870
436,6900
436,6903
434,6223
434,6287
434,6256
434,6268
434,6222
434,6247
434,6239
432,6275
432,6276
432,6901
432,6848
432,6234
432,6233
432,6248
432,6242
430,8613
430,7019
428,7416
428,8241
428,7605
428,7423
428,7422
428,7408
428,7418
